,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,구_동,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
266,2021,3,A,골목상권,2110954,강남구 역삼동,국기원,CS100010,커피-음료,2767434793,172674,62,38,11,11,12,13,14,21,17,0,1,22,38,39,1,31,69,5,64,18,5,7,1,1715980737,1051454056,315948896,305858444,327096424,368200947,398876026,576925587,474528469,0,14218611,606482015,1047950459,1075254298,23529410,862616538,1904818255,136135666,1757516843,509813659,146981803,185329317,31657505,108655,64019,20317,19070,21367,23087,24814,34376,29643,0,1423,35713,67700,65997,1841,53316,119358,9901,108024,31590,9261,11976,1922,26
267,2021,4,A,골목상권,2110954,강남구 역삼동,국기원,CS100010,커피-음료,2564140275,170333,59,41,11,11,11,12,14,22,19,0,1,18,39,39,3,30,70,5,63,20,5,6,1,1515571611,1048568664,292272471,287978992,287606825,295295891,352417432,569300786,479267878,0,14289043,456603470,1011181452,1008829794,73236516,761310506,1802829769,137787878,1603783868,502572155,136455550,157598270,25942554,101724,68609,19227,17584,19508,21235,24170,36804,31805,0,1363,30993,65202,67855,4920,50623,119710,11450,105038,30424,10066,11515,1840,20
268,2021,1,D,발달상권,2120211,강남구 역삼동,도성초등학교,CS100010,커피-음료,539100406,91701,75,25,14,15,16,13,17,13,13,0,13,38,28,20,1,44,56,6,24,20,29,18,3,402980798,136119608,73661571,79301251,87188017,71710609,91119350,67683061,68436547,0,71598765,205481403,148660494,109374991,3984753,195380218,249766737,28160502,104995545,89981837,128951522,77770896,15286653,68032,23669,12842,13563,14801,12506,14320,12478,11191,0,17388,33021,22740,17950,602,34661,48876,6865,20840,15406,23175,14704,2546,32
269,2021,2,D,발달상권,2120211,강남구 역삼동,도성초등학교,CS100010,커피-음료,666897604,122964,75,26,13,14,15,17,16,15,11,0,10,38,25,26,2,46,54,6,24,18,29,18,5,496536159,170361445,85387875,91168360,102964355,111211683,105803886,99732912,70628533,0,65494740,253882003,166237742,170885757,10397362,264782148,309975364,34794705,136610657,103161376,168792913,104571902,26825957,89216,33748,15605,17233,18491,18899,18988,18697,15051,0,19262,45386,29850,27154,1312,48157,61992,8305,27848,19785,34879,16056,3281,33
270,2021,3,D,발달상권,2120211,강남구 역삼동,도성초등학교,CS100010,커피-음료,750986683,131690,73,27,13,14,15,17,14,15,12,0,9,36,28,25,3,45,56,7,22,20,31,19,3,548453355,202533328,96766295,101877241,110495063,130937390,108377366,111191302,91342026,0,67260181,270231738,206955766,187633973,18905025,298192804,372268941,43594110,145942217,131820305,204746946,127127841,17230324,94323,37367,16158,16215,18648,22484,20818,19277,18090,0,17402,49673,29958,32246,2411,51871,71140,10644,29863,21414,38861,19456,2772,33
271,2021,4,D,발달상권,2120211,강남구 역삼동,도성초등학교,CS100010,커피-음료,647159068,117279,78,22,13,14,17,14,20,13,9,0,13,37,24,24,2,42,58,9,21,17,33,17,3,502628920,144530148,83886936,87583377,112198838,90986426,127973343,85594470,58935678,0,82575452,240747148,157571059,156714993,9550416,212859834,291328460,47497986,107026997,84893202,165784852,86264354,12720903,85837,31442,15506,15903,17478,17381,19569,17811,13631,0,17473,42704,25954,29884,1264,45489,61972,11675,24297,19299,32588,17430,2166,29
272,2021,1,A,골목상권,2110776,강남구 역삼동,도신초등학교,CS100010,커피-음료,1813823,213,100,0,6,4,11,27,52,0,0,0,0,62,38,0,0,33,67,0,4,9,31,53,3,1813823,0,102524,68349,207612,486989,948349,0,0,0,0,1117514,696309,0,0,331495,679223,0,42718,93980,310135,538252,25631,213,0,17,18,34,52,92,0,0,0,0,161,52,0,0,43,111,0,9,9,35,94,9,3
273,2021,2,A,골목상권,2110776,강남구 역삼동,도신초등학교,CS100010,커피-음료,5438906,778,89,11,15,25,9,23,18,10,1,0,2,69,18,11,0,18,82,3,13,26,34,20,5,4846829,592077,824465,1331105,461358,1247378,982523,519456,72621,0,128155,3744694,959455,606602,0,803105,3661820,123883,593786,1157668,1506250,878290,205048,691,87,136,170,77,172,136,69,18,0,18,520,162,78,0,137,538,18,111,179,179,145,43,3
274,2021,3,A,골목상권,2110776,강남구 역삼동,도신초등학교,CS100010,커피-음료,4789586,821,90,10,11,22,16,27,15,6,4,0,1,65,25,9,0,18,82,1,25,23,40,10,1,4315412,474174,512621,1038911,764660,1285823,713397,264854,209320,0,42718,3122714,1205514,418640,0,864260,3925326,48851,1190413,1089388,1923696,493094,44144,760,61,111,145,128,240,136,35,26,0,9,590,145,77,0,175,646,26,280,112,333,61,9,3
275,2021,4,A,골목상권,2110776,강남구 역삼동,도신초등학교,CS100010,커피-음료,878290,146,100,0,3,18,24,13,43,0,0,0,0,95,5,0,0,20,80,4,18,14,48,17,0,878290,0,25631,153786,209320,111068,378485,0,0,0,0,831300,46990,0,0,178252,700038,33589,153503,122566,418367,150265,0,146,0,9,26,34,17,60,0,0,0,0,129,17,0,0,46,100,10,28,27,53,28,0,2
