,보증금,월세
705,13000,1000
706,3000,240
707,10000,580
708,30000,1750
709,45000,2625
710,7000,420
711,3000,300
712,15000,1200
713,5000,400
714,10000,1000
715,10000,800
716,5000,220
717,13000,764
718,10000,500
719,3000,220
720,3000,250
721,15000,800
722,5000,400
723,5000,370
724,10000,800
725,8000,380
726,15000,900
727,1500,140
728,5000,320
729,20000,1200
730,1000,90
731,3500,380
732,33000,2800
733,5000,500
734,3500,380
735,10000,5000
736,2000,110
737,1700,66
738,33000,2800
739,3000,280
